Number of observations,Upper 0.1% Significance Level,Upper 0.5% Significance Level,Upper 1% Significance Level,Upper 2.5% Significance Level,Upper 5% Significance Level,Upper 10% Significance Level
52,"3,808","3,500","3,353","3,143","2,971","2,783"
53,"3,816","3,507","3,361","3,151","2,978","2,790"
54,"3,825","3,516","3,368","3,158","2,986","2,798"
55,"3,834","3,524","3,376","3,166","2,992","2,804"
56,"3,842","3,531","3,383","3,172","3,000","2,811"
57,"3,851","3,539","3,391","3,180","3,006","2,818"
58,"3,858","3,546","3,397","3,186","3,013","2,824"
59,"3,867","3,553","3,405","3,193","3,019","2,831"
60,"3,874","3,560","3,411","3,199","3,025","2,837"
61,"3,882","3,566","3,418","3,205","3,032","2,842"
62,"3,889","3,573","3,424","3,212","3,037","2,849"
63,"3,896","3,579","3,430","3,218","3,044","2,854"
64,"3,903","3,586","3,437","3,224","3,049","2,860"
65,"3,910","3,592","3,442","3,230","3,055","2,866"
66,"3,917","3,598","3,449","3,235","3,061","2,871"
67,"3,923","3,605","3,454","3,241","3,066","2,877"
68,"3,930","3,610","3,460","3,246","3,071","2,883"
69,"3,936","3,617","3,466","3,252","3,076","2,888"
70,"3,942","3,622","3,471","3,257","3,082","2,893"
71,"3,948","3,627","3,476","3,262","3,087","2,897"
72,"3,954","3,633","3,482","3,267","3,092","2,903"
73,"3,960","3,638","3,487","3,272","3,098","2,908"
74,"3,965","3,643","3,492","3,278","3,102","2,912"
75,"3,971","3,648","3,496","3,282","3,107","2,917"
76,"3,977","3,654","3,502","3,287","3,111","2,922"
77,"3,982","3,658","3,507","3,291","3,117","2,927"
78,"3,987","3,663","3,511","3,297","3,121","2,931"
79,"3,992","3,669","3,516","3,301","3,125","2,935"
80,"3,998","3,673","3,521","3,305","3,130","2,940"
81,"4,002","3,677","3,525","3,309","3,134","2,945"
82,"4,007","3,682","3,529","3,315","3,139","2,949"
83,"4,012","3,687","3,534","3,319","3,143","2,953"
84,"4,017","3,691","3,539","3,323","3,147","2,957"
85,"4,021","3,695","3,543","3,327","3,151","2,961"
86,"4,026","3,699","3,547","3,331","3,155","2,966"
87,"4,031","3,704","3,551","3,335","3,160","2,970"
88,"4,035","3,708","3,555","3,339","3,163","2,973"
89,"4,039","3,712","3,559","3,343","3,167","2,977"
90,"4,044","3,716","3,563","3,347","3,171","2,981"
91,"4,049","3,720","3,567","3,350","3,174","2,984"
92,"4,053","3,725","3,570","3,355","3,179","2,989"
93,"4,057","3,728","3,575","3,358","3,182","2,993"
94,"4,060","3,732","3,579","3,362","3,186","2,996"
95,"4,064","3,736","3,582","3,365","3,189","3,000"
96,"4,069","3,739","3,586","3,369","3,193","3,003"
97,"4,073","3,744","3,589","3,372","3,196","3,006"
98,"4,076","3,747","3,593","3,377","3,201","3,011"
99,"4,080","3,750","3,597","3,380","3,204","3,014"
100,"4,084","3,754","3,600","3,383","3,207","3,017"
101,"4,088","3,757","3,603","3,386","3,210","3,021"
102,"4,092","3,760","3,607","3,390","3,214","3,024"
103,"4,095","3,765","3,610","3,393","3,217","3,027"
104,"4,098","3,768","3,614","3,397","3,220","3,030"
105,"4,102","3,771","3,617","3,400","3,224","3,033"
106,"4,105","3,774","3,620","3,403","3,227","3,037"
107,"4,109","3,777","3,623","3,406","3,230","3,040"
108,"4,112","3,780","3,626","3,409","3,233","3,043"
109,"4,116","3,784","3,629","3,412","3,236","3,046"
110,"4,119","3,787","3,632","3,415","3,239","3,049"
111,"4,122","3,790","3,636","3,418","3,242","3,052"
112,"4,125","3,793","3,639","3,422","3,245","3,055"
113,"4,129","3,796","3,642","3,424","3,248","3,058"
114,"4,132","3,799","3,645","3,427","3,251","3,061"
115,"4,135","3,802","3,647","3,430","3,254","3,064"
116,"4,138","3,805","3,650","3,433","3,257","3,067"
117,"4,141","3,808","3,653","3,435","3,259","3,070"
118,"4,144","3,811","3,656","3,438","3,262","3,073"
119,"4,146","3,814","3,659","3,441","3,265","3,075"
120,"4,150","3,817","3,662","3,444","3,267","3,078"
121,"4,153","3,819","3,665","3,447","3,270","3,081"
122,"4,156","3,822","3,667","3,450","3,274","3,083"
123,"4,159","3,824","3,670","3,452","3,276","3,086"
124,"4,161","3,827","3,672","3,455","3,279","3,089"
125,"4,164","3,831","3,675","3,457","3,281","3,092"
126,"4,166","3,833","3,677","3,460","3,284","3,095"
127,"4,169","3,836","3,680","3,462","3,286","3,097"
128,"4,173","3,838","3,683","3,465","3,289","3,100"
129,"4,175","3,840","3,686","3,467","3,291","3,102"
130,"4,178","3,843","3,688","3,470","3,294","3,104"
131,"4,180","3,845","3,690","3,473","3,296","3,107"
132,"4,183","3,848","3,693","3,475","3,298","3,109"
133,"4,185","3,850","3,695","3,478","3,302","3,112"
134,"4,188","3,853","3,697","3,480","3,304","3,114"
135,"4,190","3,856","3,700","3,482","3,306","3,116"
136,"4,193","3,858","3,702","3,484","3,309","3,119"
137,"4,196","3,860","3,704","3,487","3,311","3,122"
138,"4,198","3,863","3,707","3,489","3,313","3,124"
139,"4,200","3,865","3,710","3,491","3,315","3,126"
140,"4,203","3,867","3,712","3,493","3,318","3,129"
141,"4,205","3,869","3,714","3,497","3,320","3,131"
142,"4,207","3,871","3,716","3,499","3,322","3,133"
143,"4,209","3,874","3,719","3,501","3,324","3,135"
144,"4,212","3,876","3,721","3,503","3,326","3,138"
145,"4,214","3,879","3,723","3,505","3,328","3,140"
146,"4,216","3,881","3,725","3,507","3,331","3,142"
147,"4,219","3,883","3,727","3,509","3,334","3,144"
